FID,STUSPS,NAME,STATE_NAME,STATE_FIPS,STATE_ABBR,POPULATION,SQMI,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,Shape_Leng,Shape_Area
25,AK,Alaska,Alaska,2,AK,750876,581369.17,3903,642,1020,776,7987,365,2058,448,458,1758,40463168.2,8.35E+12
50,AZ,Arizona,Arizona,4,AZ,7132147,113997.77,601,258,671,482,250,321,165,338,1588,119,2806686.805,4.34E+11
12,CA,California,California,6,CA,39806791,158144.83,405,2849,1978,876,1396,867,903,1359,198,171,5047230.194,6.51E+11
42,CO,Colorado,Colorado,8,CO,5711572,104093.95,63,743,182,202,35,39,305,385,252,69,2707335.874,4.47E+11
23,ID,Idaho,Idaho,16,ID,1760131,83570.14,444,945,1072,565,1256,296,1128,2606,600,1005,3716902.299,4.25E+11
27,MT,Montana,Montana,30,MT,1068947,147042.71,101,153,2135,179,549,60,194,1907,263,89,4204598.767,8.20E+11
32,NV,Nevada,Nevada,32,NV,3025735,110561.37,129,1566,2077,414,66,93,255,958,663,37,3016395.147,4.80E+11
10,NM,New Mexico,New Mexico,35,NM,2147526,121588.62,125,597,2077,332,69,37,347,582,2010,364,2885723.863,4.64E+11
16,OR,Oregon,Oregon,41,OR,4185014,97076.81,125,1402,1116,343,1072,1538,548,1963,446,146,3124516.507,4.85E+11
11,TX,Texas,Texas,48,TX,28954616,264778.77,337,890,1148,557,288,205,17,281,4254,329,5439915.265,9.57E+11
38,UT,Utah,Utah,49,UT,3183796,84898.13,144,686,390,158,16,44,110,649,98,101,2556571.545,3.68E+11
6,WA,Washington,Washington,53,WA,7452102,67620.68,265,686,632,459,1778,605,238,406,27,89,3151693.35,3.90E+11
